"","Tree","Model","Cladogenesis","Extinction","Carrying_capacity","Colonisation","Anagenesis","Likelihood"
"79",27,1,0.066342261572544,4.5270193666666e-08,537.356000394172,0.000341960559083102,9.17328512814014e-07,-1093.88251686935
"80",27,2,0.066342261572544,4.5270193666666e-08,537.356000394172,0.000341960559083102,9.17328512814014e-07,-1093.88251686938
"81",27,3,0.066342261572544,4.5270193666666e-08,537.356000394172,0.000341960559083102,9.17328512814014e-07,-1093.88251686939
"82",28,1,0.0665669220921093,0.100486705735873,Inf,0.0839989007849286,0.531360717192646,-834.47647859238
"83",28,2,0.0665752539320929,0.100545547535941,Inf,0.0840651010552906,0.531754377630071,-834.476258417367
"84",28,3,0.0665752539320929,0.100545547535941,Inf,0.0840714479721673,0.531943588422893,-834.476159026498
"85",29,1,0.0763931560288579,6.63141963968462e-06,1656.07603813725,0.000340027730088366,1.52092207048383e-06,-1025.8421604593
"86",29,2,0.0763931560288579,6.63141963968462e-06,1656.07603813725,0.000340027730088366,1.52092207048383e-06,-1025.84216045931
"87",29,3,0.0763931560288579,6.63141963968462e-06,1656.07603813725,0.000340027730088366,1.52092207048383e-06,-1025.84216045931
"88",30,1,0.0728422966151446,1.08725782727434e-06,347.418863022747,0.000334094689265889,0.00012288901853322,-1117.22411731226
"89",30,2,0.0724602603455831,5.71813725521302e-07,346.580192750364,0.000342643712993062,2.48649928749236e-06,-1117.21039119921
"90",30,3,0.0724913339047785,2.51378891429384e-07,346.580192750364,0.000342643712993062,2.48649928749236e-06,-1117.2101980404
"91",31,1,0.077522770949121,1.3875366517145e-08,713.308372136566,0.000338521460417606,3.40934156934299e-05,-1044.51722836865
"92",31,2,0.077522770949121,1.3875366517145e-08,713.308372136566,0.000338521460417606,3.40934156934299e-05,-1044.51722836844
"93",31,3,0.077522770949121,1.3875366517145e-08,713.308372136566,0.000338521460417606,3.40934156934299e-05,-1044.51722836855
"94",32,1,0.059494574568211,0.0174129093295297,Inf,0.00496091027438798,0.25754041592004,-1090.95144351518
"95",32,2,0.0592486400162469,0.0171168111481139,5969877.5394474,0.00493513420624384,0.25749648624015,-1090.95000280361
